Names,profession,loan_purpose,total_credit_utilized,loan_amount,interest_rate,term,ten_of monthly,total_satoshis,total_sp_value,payoff_date,sp_price_on_date,btc_price_on_date,btc_sold_on_term,sp_sold_term,total_payment,spent_strategy
Sabrina Gilbert,quality control manager,debt_consolidation,54469,35000,23.88,36,137,66772841,1.7125,1/1/2021,3700,29022.42,19379.09,6336.25,33993,2988
Jessica Hudson,administrator,debt_consolidation,73849,29150,11.99,36,97,47277121,1.2125,1/1/2021,3700,29022.42,13720.96,4486.25,33462,2820
Nicole Riley,realtor,debt_consolidation,64980,39400,15.05,60,94,52926982,1.7108,1/1/2023,3824,16540,8754.12,6542.0992,45215,3660
Lisa Salinas MD,custom protection officer,debt_consolidation,15406,23625,21.45,36,90,43865370,1.125,1/1/2021,3700,29022.42,12730.79,4162.5,8156,720
Sarah Sparks,instructional support teacher,debt_consolidation,47197,10000,7.97,36,31,15109183,0.3875,1/1/2021,3700,29022.42,4385.05,1433.75,44093,3924
Jackson Ellis,patient financial counselor ,home_improvement,40906,16000,14.08,60,37,20832961,0.6734,1/1/2023,3824,16540,3445.77,2575.0816,23891,2124
Mary Braun,medical billing,debt_consolidation,17736,8000,9.93,36,26,12672218,0.325,1/1/2021,3700,29022.42,3677.78,1202.5,39144,3240
Tyler Graham,craneman,debt_consolidation,126920,12000,16.02,60,29,16328537,0.5278,1/1/2023,3824,16540,2700.74,2018.3072,39658,3480
Carol Yoder,veterans technician,credit_card,105867,36000,11.99,60,80,45044240,1.456,1/1/2023,3824,16540,7450.32,5567.744,38060,3060
Patrick Davies,,other,4589,6000,10.91,36,20,9747860,0.25,1/1/2021,3700,29022.42,2829.06,925,6637,576
Susan Thompson,accountant ,debt_consolidation,34535,20000,14.08,36,68,33142724,0.85,1/1/2021,3700,29022.42,9618.82,3145,16156,1368
Nicole Herring,director special events,debt_consolidation,4766,20000,11.99,60,44,24774332,0.8008,1/1/2023,3824,16540,4097.67,3062.2592,46456,4104
Ashley Martin,,credit_card,29517,10000,6.08,36,30,14621790,0.375,1/1/2021,3700,29022.42,4243.6,1387.5,61338,4980
Lisa Carlson,medical secretary ,debt_consolidation,82200,8000,15.05,36,28,13647004,0.35,1/1/2021,3700,29022.42,3960.69,1295,70080,5700
Timothy Hernandez,administrative assistant ,debt_consolidation,12210,7700,6.08,36,23,11210039,0.2875,1/1/2021,3700,29022.42,3253.42,1063.75,5922,504
Renee Kelly,licensed barber,debt_consolidation,40944,35000,6.72,36,108,52638444,1.35,1/1/2021,3700,29022.42,15276.95,4995,42600,3480
Ms. Karen Meyers,systems administrator,credit_card,78656,28000,10.42,36,91,44352763,1.1375,1/1/2021,3700,29022.42,12872.25,4208.75,54850,4320
Kathryn Harris,,car,103929,10000,9.44,60,21,11824113,0.3822,1/1/2023,3824,16540,1955.71,1461.5328,59860,5100
Laura Mccoy,owner,debt_consolidation,42958,15000,21.45,60,41,23085173,0.7462,1/1/2023,3824,16540,3818.29,2853.4688,30978,2808
Ryan Frye,medical doctor,credit_card,54718,25700,18.06,60,65,36598445,1.183,1/1/2023,3824,16540,6053.38,4523.792,35472,3276
Jason Taylor,director of human resources,small_business,114822,20000,7.35,36,62,30218366,0.775,1/1/2021,3700,29022.42,8770.1,2867.5,9613,900
Jamie Anderson,software engineer,credit_card,182904,25000,6.08,36,76,37041868,0.95,1/1/2021,3700,29022.42,10750.45,3515,78060,6240
Brian Pham,,debt_consolidation,14910,24000,20,60,64,36035392,1.1648,1/1/2023,3824,16540,5960.25,4454.1952,6563,576
Bryan Mahoney II,chef,debt_consolidation,7256,11500,18.06,60,29,16328537,0.5278,1/1/2023,3824,16540,2700.74,2018.3072,53235,4500
William Villegas,library tech,credit_card,49647,3000,7.97,36,9,4386537,0.1125,1/1/2021,3700,29022.42,1273.08,416.25,5655,468
Michael Cherry,executive chef,credit_card,19223,15000,9.93,36,48,23394864,0.6,1/1/2021,3700,29022.42,6789.76,2220,19079,1560
Kristine Glover,csa,debt_consolidation,57148,10000,10.42,60,21,11824113,0.3822,1/1/2023,3824,16540,1955.71,1461.5328,46836,3720
Jamie Bryan,associate professor,debt_consolidation,68245,6025,13.59,36,20,9747860,0.25,1/1/2021,3700,29022.42,2829.06,925,24830,2304
Glenn Gonzalez,maintenance supervisor,debt_consolidation,59443,10000,19.03,60,26,14639378,0.4732,1/1/2023,3824,16540,2421.35,1809.5168,51821,4428
James Smith,techinology cooridinator,debt_consolidation,64232,25000,6.72,36,77,37529261,0.9625,1/1/2021,3700,29022.42,10891.9,3561.25,12235,1080
Kathryn Schwartz,entertainment coordinator,debt_consolidation,21631,14000,6.72,36,43,20957899,0.5375,1/1/2021,3700,29022.42,6082.49,1988.75,59623,4920
Miranda Johnson,bilingual case manager ,debt_consolidation,44762,35000,12.62,36,117,57024981,1.4625,1/1/2021,3700,29022.42,16550.03,5411.25,32292,2520
Kelsey Howard,senior software engineer,debt_consolidation,26701,20000,14.08,36,68,33142724,0.85,1/1/2021,3700,29022.42,9618.82,3145,48808,4464
David Freeman,plant manager ,debt_consolidation,23494,8000,7.35,36,25,12184825,0.3125,1/1/2021,3700,29022.42,3536.33,1156.25,8980,792
Laura Carrillo,manager admin services,home_improvement,48829,22000,11.99,60,49,27589597,0.8918,1/1/2023,3824,16540,4563.32,3410.2432,25787,2160
Victoria Frank,production manager,debt_consolidation,13364,10000,13.59,36,34,16571362,0.425,1/1/2021,3700,29022.42,4809.41,1572.5,35050,2880
Cindy Contreras,vice president,credit_card,80863,35000,20,60,93,52363929,1.6926,1/1/2023,3824,16540,8660.99,6472.5024,7094,648
Jared Harris,engineer,credit_card,56201,16000,6.72,36,49,23882257,0.6125,1/1/2021,3700,29022.42,6931.21,2266.25,30521,2700
Grace Morris,,other,6605,5000,11.99,36,17,8285681,0.2125,1/1/2021,3700,29022.42,2404.71,786.25,45668,4068
Joshua Gilbert,customer service rep,debt_consolidation,57949,12475,25.82,60,37,20832961,0.6734,1/1/2023,3824,16540,3445.77,2575.0816,58358,4740
Teresa Brown,mechanic ,debt_consolidation,50124,18000,14.08,36,62,30218366,0.775,1/1/2021,3700,29022.42,8770.1,2867.5,23362,2088
Nathan Patton,software sales,debt_consolidation,292332,34750,6.72,36,107,52151051,1.3375,1/1/2021,3700,29022.42,15135.5,4948.75,51316,4608
Jason Clarke,manager,debt_consolidation,28967,15000,11.99,60,33,18580749,0.6006,1/1/2023,3824,16540,3073.26,2296.6944,11029,972
Mr. Anthony Stanley IV,data analyst,car,79563,3500,7.97,36,11,5361323,0.1375,1/1/2021,3700,29022.42,1555.99,508.75,31224,2520
Amanda Ross,clinical team leader,debt_consolidation,137528,36475,7.97,36,114,55562802,1.425,1/1/2021,3700,29022.42,16125.67,5272.5,10383,936
Larry Love,lpn,other,53651,6500,22.91,36,25,12184825,0.3125,1/1/2021,3700,29022.42,3536.33,1156.25,38051,3492
