Names,profession,job_length,state,homeownership,annual_income,monthly_wage,debt_to_income,total_credit_limit,total_credit_utilized,loan_purpose,loan_amount,term,interest_rate,installment,total_payment,ten_of monthly,spent_strategy,issue_date,payoff_date
Sonya Hudson,receptionist,3,SC,MORTGAGE,"3,300",275,469.09,474197,81424.00,debt_consolidation,25000,36,11.99,830,33993,83,2988,2/1/2018,2/1/2021
Andrew Evans,after school day care,2,CT,MORTGAGE,"4,000",333,437.61,331921,57468.00,debt_consolidation,22000,60,10.42,472,33462,47,2820,1/1/2018,1/1/2023
Cheryl Leblanc,cashier,2,OH,MORTGAGE,"5,500",458,315.94,324111,56796.00,debt_consolidation,25800,60,15.05,614,45215,61,3660,1/1/2018,1/1/2023
Keith Hernandez,,,MI,MORTGAGE,"5,000",417,267.55,30300,23414.00,debt_consolidation,6000,36,11.98,199,8156,20,720,3/1/2018,3/1/2021
Michele Robinson,owner,4,WI,MORTGAGE,"5,000",417,216.83,60096,35939.00,home_improvement,33600,36,10.41,"1,091",44093,109,3924,2/1/2018,2/1/2021
Michael Decker,cleaner,2,HI,RENT,"3,120",260,215.38,36402,22324.00,debt_consolidation,18000,36,10.91,589,23891,59,2124,1/1/2018,1/1/2021
Tammy Moore,producer ,9,OR,MORTGAGE,"19,000","1,583",209.1,363425,330087.00,credit_card,24000,60,12.62,541,39144,54,3240,3/1/2018,3/1/2023
Ronald Kemp,owner,10,VA,MORTGAGE,"12,000","1,000",204.13,406818,86236.00,debt_consolidation,29000,60,7.35,579,39658,58,3480,1/1/2018,1/1/2023
Cristian Lane,,,TX,MORTGAGE,"9,972",831,191.7,227670,65483.00,debt_consolidation,20000,60,18.06,509,38060,51,3060,2/1/2018,2/1/2023
Marcus Garcia,lab tech trainer,8,MO,RENT,"3,000",250,186,31188,16282.00,debt_consolidation,5000,36,10.91,163,6637,16,576,2/1/2018,2/1/2021
Veronica Ramirez,substitute ,0,MS,RENT,"10,000",833,182.35,75056,57782.00,debt_consolidation,10400,36,18.45,378,16156,38,1368,3/1/2018,3/1/2021
Joshua Williams,,,WI,RENT,"10,000",833,180.71,76700,28402.00,debt_consolidation,35000,36,10.91,"1,144",46456,114,4104,1/1/2018,1/1/2021
Sandra Hooper,clerk,3,OK,MORTGAGE,"13,500","1,125",174.49,132365,72651.00,debt_consolidation,35000,60,15.05,834,61338,83,4980,1/1/2018,1/1/2023
Ashley Thomas,agent,2,TX,MORTGAGE,"12,000","1,000",170.4,225951,59098.00,credit_card,40000,60,15.04,952,70080,95,5700,3/1/2018,3/1/2023
Rebecca Lam,caregiver ,4,TX,OWN,"10,800",900,167.74,120551,71287.00,debt_consolidation,4000,36,16.02,141,5922,14,504,2/1/2018,2/1/2021
Miranda Stark,,,LA,MORTGAGE,"27,000","2,250",148.04,367272,139010.00,credit_card,25000,60,14.08,583,42600,58,3480,2/1/2018,2/1/2023
Scott Singleton,teaching assistant,10,VA,MORTGAGE,"8,000",667,144.74,34110,28483.00,debt_consolidation,25000,60,23.88,717,54850,72,4320,2/1/2018,2/1/2023
Lisa Stevenson,,,OH,MORTGAGE,"10,000",833,144.3,329895,26885.00,home_improvement,40000,60,9.93,849,59860,85,5100,1/1/2018,1/1/2023
Wyatt Brown,,,NJ,MORTGAGE,"10,000",833,137.7,364944,49211.00,credit_card,25000,36,7.97,783,30978,78,2808,1/1/2018,1/1/2021
Patricia Dominguez,,,VA,MORTGAGE,"10,000",833,137.52,389965,31134.00,credit_card,30000,36,6.08,914,35472,91,3276,2/1/2018,2/1/2021
Alisha Zuniga,bus driver,2,IL,MORTGAGE,"15,000","1,250",135.28,224518,108203.00,debt_consolidation,8000,36,6.72,246,9613,25,900,1/1/2018,1/1/2021
Tammy Becker,driver,5,TX,MORTGAGE,"40,000","3,333",134.53,401380,185399.00,debt_consolidation,40000,60,19.03,"1,038",78060,104,6240,1/1/2018,1/1/2023
Jose Kidd,,,TX,MORTGAGE,"11,352",946,132.98,231052,44234.00,debt_consolidation,5000,36,10.42,162,6563,16,576,1/1/2018,1/1/2021
Erin Fischer,,,CA,MORTGAGE,"19,200","1,600",132.06,188596,61370.00,debt_consolidation,35000,60,10.42,751,53235,75,4500,2/1/2018,2/1/2023
Michelle Francis,,,FL,MORTGAGE,"13,800","1,150",128.61,217328,60586.00,home_improvement,3600,36,19.03,132,5655,13,468,1/1/2018,1/1/2021
Thomas Santos,,,FL,RENT,"10,000",833,125.93,63613,45555.00,other,11200,60,14.07,261,19079,26,1560,3/1/2018,3/1/2023
Carmen Crane,,,KY,RENT,"11,150",929,119.48,40500,39452.00,debt_consolidation,24000,60,19.03,623,46836,62,3720,3/1/2018,3/1/2023
Evan Wells,early childhood teacher,10,NC,MORTGAGE,"10,000",833,110.44,352300,26307.00,debt_consolidation,21000,36,6.08,640,24830,64,2304,1/1/2018,1/1/2021
Justin Porter,account exec,4,NC,MORTGAGE,"19,000","1,583",107.94,101995,70232.00,credit_card,35000,36,16.02,"1,231",51821,123,4428,1/1/2018,1/1/2021
Emily Taylor,owner,4,IL,RENT,"11,000",917,106.66,74295,44626.00,credit_card,9000,36,11.98,299,12235,30,1080,3/1/2018,3/1/2021
Ryan Cross,security ,7,IN,OWN,"25,000","2,083",103.98,204202,101446.00,debt_consolidation,35000,60,14.07,816,59623,82,4920,3/1/2018,3/1/2023
Kevin Mendez,,,OH,MORTGAGE,"15,000","1,250",103.52,204926,63684.00,debt_consolidation,14400,60,24.85,421,32292,42,2520,2/1/2018,2/1/2023
Briana Elliott,bus driver,0,IL,MORTGAGE,"10,000",833,100.72,297893,25811.00,debt_consolidation,40000,36,7.34,"1,241",48808,124,4464,3/1/2018,3/1/2021
Lisa Flores,,,PA,OWN,"5,208",434,96.77,14800,9205.00,debt_consolidation,7000,36,9.43,224,8980,22,792,3/1/2018,3/1/2021
Allison Underwood,,,TX,MORTGAGE,"40,000","3,333",94.29,300926,253219.00,other,16000,36,20.39,598,25787,60,2160,2/1/2018,2/1/2021
Jacob Contreras,,,UT,OWN,"10,800",900,92.67,52399,35789.00,home_improvement,20000,60,15.05,476,35050,48,2880,2/1/2018,2/1/2023
Amanda Gonzalez,,,NY,OWN,"9,840",820,89.88,21709,13055.00,debt_consolidation,6000,36,6.08,183,7094,18,648,2/1/2018,2/1/2021
Vickie Walsh,owner,10,WY,RENT,"55,000","4,583",89.07,194509,124062.00,other,23000,36,10.9,752,30521,75,2700,3/1/2018,3/1/2021
Miguel Riggs,teller,6,KY,MORTGAGE,"31,304","2,609",85.01,148280,93224.00,debt_consolidation,34800,36,10.41,"1,130",45668,113,4068,3/1/2018,3/1/2021
Cynthia Chandler PhD,,,TX,MORTGAGE,"25,200","2,100",84.68,296865,98301.00,credit_card,33300,60,15.05,793,58358,79,4740,2/1/2018,2/1/2023
Derek Fletcher,,,TX,OWN,"17,000","1,417",84.46,74653,50228.00,debt_consolidation,18000,36,9.93,580,23362,58,2088,1/1/2018,1/1/2021
Angel Bailey,transportation specialist,2,OK,MORTGAGE,"33,975","2,831",83.4,123279,80391.00,debt_consolidation,40000,36,9.43,"1,280",51316,128,4608,3/1/2018,3/1/2021
Jessica Powell,hr coordinator,3,TN,MORTGAGE,"38,000","3,167",81.68,398493,111630.00,home_improvement,8000,36,12.62,268,11029,27,972,2/1/2018,2/1/2021
Christina Jensen,head teller,10,TN,MORTGAGE,"25,000","2,083",81.61,195921,140472.00,debt_consolidation,16000,60,19.03,415,31224,42,2520,1/1/2018,1/1/2023
Melinda Moore,editor,10,OH,MORTGAGE,"50,000","4,167",80.75,333189,122964.00,home_improvement,8000,36,9.93,258,10383,26,936,1/1/2018,1/1/2021
Jeremy Flores,,,LA,RENT,"13,390","1,116",80.18,430500,57226.00,credit_card,31675,36,6.71,974,38051,97,3492,3/1/2018,3/1/2021
Rebecca Guzman,customer service advisor,2,MD,MORTGAGE,"34,000","2,833",78.31,290622,102442.00,credit_card,30000,60,19.03,779,58545,78,4680,1/1/2018,1/1/2023
